ref,Site Address,Proposal,Total units on devt,Ward,Parish,Deed Ref,Deed Type,Date Signed,RSL,Tenure,No of units for this mix type,% AH of total units for permission,Mix type
02-AP-2012,"52-56 LANT STREET, LONDON, SE1 1QP","Demolition of existing buildings and construction of a seven-storey building comprising 67 residential flats, 654m2 of office floor space and 35 car parking spaces in the basement.",67.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/01/2005,TO BE CONFIRMED,Aff Rent,3,4.48,3 Bed Flat
02-AP-2012,"52-56 LANT STREET, LONDON, SE1 1QP","Demolition of existing buildings and construction of a seven-storey building comprising 67 residential flats, 654m2 of office floor space and 35 car parking spaces in the basement.",67.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/01/2005,TO BE CONFIRMED,Shared Own,2,2.99,3 Bed Flat
03-AP-0107,"THE FINAL FURLONG, 162 GRANGE ROAD, LONDON, SE1 3AJ","Demolition of existing public house and erection of a part 5/part 6 storey block of 23 flats and a restaurant/Cafe/Bar [Class A3 use] unit at ground floor, with associated residential parking in basement (11 spaces).",23.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,22/12/2005,TO BE CONFIRMED,Aff Rent,3,13.04,1 Bed Flat
03-AP-0107,"THE FINAL FURLONG, 162 GRANGE ROAD, LONDON, SE1 3AJ","Demolition of existing public house and erection of a part 5/part 6 storey block of 23 flats and a restaurant/Cafe/Bar [Class A3 use] unit at ground floor, with associated residential parking in basement (11 spaces).",23.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,22/12/2005,TO BE CONFIRMED,Aff Rent,3,13.04,2 Bed Flat
03-AP-0417,"31-35 EAST DULWICH ROAD, LONDON, SE22 9AN","Demolition of existing buildings and construction of 4 new buildings comprising of a four storey building of 72 flats, a four storey building of 24 affordable flats. a three storey building of 18 affordable flats, and a terrace of 11 houses, together with private and shared amenity space and 97 car spaces.",125.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,26/03/2004,London and Quadrant Housing Trust,Not known,12,9.60,1 Bed Flat
03-AP-0417,"31-35 EAST DULWICH ROAD, LONDON, SE22 9AN","Demolition of existing buildings and construction of 4 new buildings comprising of a four storey building of 72 flats, a four storey building of 24 affordable flats. a three storey building of 18 affordable flats, and a terrace of 11 houses, together with private and shared amenity space and 97 car spaces.",125.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,26/03/2004,London and Quadrant Housing Trust,Not known,27,21.60,2 Bed Flat
03-AP-0417,"31-35 EAST DULWICH ROAD, LONDON, SE22 9AN","Demolition of existing buildings and construction of 4 new buildings comprising of a four storey building of 72 flats, a four storey building of 24 affordable flats. a three storey building of 18 affordable flats, and a terrace of 11 houses, together with private and shared amenity space and 97 car spaces.",125.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,26/03/2004,London and Quadrant Housing Trust,Not known,3,2.40,3 Bed Flat
03-AP-0641,"193-197 LONG LANE, LONDON, SE1 4PD",Demolition of existing building and construction of a seven storey building comprising of office (Class B1) use on the ground floor and 83 self contained flats on the upper floors together with associated car parking and amenity space.,83.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,13/01/2005,TO BE CONFIRMED,Aff Rent,9,10.84,2 Bed Flat
03-AP-0641,"193-197 LONG LANE, LONDON, SE1 4PD",Demolition of existing building and construction of a seven storey building comprising of office (Class B1) use on the ground floor and 83 self contained flats on the upper floors together with associated car parking and amenity space.,83.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,13/01/2005,TO BE CONFIRMED,Shared Own,6,7.23,2 Bed Flat
03-AP-0878,"98-118 SOUTHWARK BRIDGE ROAD, LONDON SE1",Erection of a part five/part six storey building with offices at part ground to fourth floor level and 99 flats at part ground to fifth floor level and provision of 75 car parking spaces at basement level with access in Sturge street.,99.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,20/12/2004,TO BE CONFIRMED,Not known,18,18.18,1 Bed Flat
03-AP-0878,"98-118 SOUTHWARK BRIDGE ROAD, LONDON SE1",Erection of a part five/part six storey building with offices at part ground to fourth floor level and 99 flats at part ground to fifth floor level and provision of 75 car parking spaces at basement level with access in Sturge street.,99.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,20/12/2004,TO BE CONFIRMED,Not known,7,7.07,2 Bed Flat
03-AP-1044,"PELICAN HOUSE, 88-96 PECKHAM ROAD, LONDON, SE15 5LJ","Retention of front facade of existing building, demolition of remainder of building and construction of part five, part six and part seven storey building behind existing front facade comprising restaurant (Class A 3) use on part of ground floor and 82 self contained flats on part ground and upper floors with associated basement car parking and cycle storage and communal amenity space.",82.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,09/01/2006,The Horizon Housing Group,Shared Own,17,20.73,1 Bed Flat
03-AP-1044,"PELICAN HOUSE, 88-96 PECKHAM ROAD, LONDON, SE15 5LJ","Retention of front facade of existing building, demolition of remainder of building and construction of part five, part six and part seven storey building behind existing front facade comprising restaurant (Class A 3) use on part of ground floor and 82 self contained flats on part ground and upper floors with associated basement car parking and cycle storage and communal amenity space.",82.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,09/01/2006,The Horizon Housing Group,Shared Own,14,17.07,2 Bed Flat
03-AP-1228,"249- 267 RYE LANE, LONDON, SE15 4UA","Construction of 3 buildings in blocks of 5, 6 and 7 storeys around a landscaped courtyard comprising retail/financial & professional services/cafe/wine bar/offices (Class A1/A2/A3 B1) on the ground floor, 122 flats on the upper floors and 56 basement car parking spaces and 122 bicycle spaces, with access from Heaton Road.",122.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,30/03/2005,TO BE CONFIRMED,Aff Rent,17,13.93,1 Bed
03-AP-1228,"249- 267 RYE LANE, LONDON, SE15 4UA","Construction of 3 buildings in blocks of 5, 6 and 7 storeys around a landscaped courtyard comprising retail/financial & professional services/cafe/wine bar/offices (Class A1/A2/A3 B1) on the ground floor, 122 flats on the upper floors and 56 basement car parking spaces and 122 bicycle spaces, with access from Heaton Road.",122.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,30/03/2005,TO BE CONFIRMED,Aff Rent,29,23.77,2 Bed
03-AP-1228,"249- 267 RYE LANE, LONDON, SE15 4UA","Construction of 3 buildings in blocks of 5, 6 and 7 storeys around a landscaped courtyard comprising retail/financial & professional services/cafe/wine bar/offices (Class A1/A2/A3 B1) on the ground floor, 122 flats on the upper floors and 56 basement car parking spaces and 122 bicycle spaces, with access from Heaton Road.",122.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,30/03/2005,TO BE CONFIRMED,Aff Rent,8,6.56,3 Bed
03-AP-1278,"SUMNER WORKS, 76-78 VERNEY ROAD SE16","Redevelopment of site to provide 45 residential units (comprising 8x1 bed, 31x2 bed and 5x3 bed flats) in a block of part three/ part six storeys together with associated car parking (14 spaces) and amenity space.",45.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/11/2004,Presentation Housing Association Ltd,Not known,8,17.78,1 Bed Flat
03-AP-1278,"SUMNER WORKS, 76-78 VERNEY ROAD SE16","Redevelopment of site to provide 45 residential units (comprising 8x1 bed, 31x2 bed and 5x3 bed flats) in a block of part three/ part six storeys together with associated car parking (14 spaces) and amenity space.",45.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/11/2004,Presentation Housing Association Ltd,Not known,31,68.89,2 Bed Flat
03-AP-1278,"SUMNER WORKS, 76-78 VERNEY ROAD SE16","Redevelopment of site to provide 45 residential units (comprising 8x1 bed, 31x2 bed and 5x3 bed flats) in a block of part three/ part six storeys together with associated car parking (14 spaces) and amenity space.",45.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/11/2004,Presentation Housing Association Ltd,Not known,5,11.11,3 Bed Flat
03-AP-1417,"137-141A RYE LANE, LONDON, SE15 4ST",Construction of replacement retail units at ground floor together with 40 affordable residential flats in two blocks of 4 and 6 storeys above,40.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,26/07/2004,Wandle Housing  Association,Not known,5,12.50,1 Bed Flat
03-AP-1417,"137-141A RYE LANE, LONDON, SE15 4ST",Construction of replacement retail units at ground floor together with 40 affordable residential flats in two blocks of 4 and 6 storeys above,40.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,26/07/2004,Wandle Housing  Association,Not known,5,12.50,3 Bed Flat
03-AP-1952,82-96 Old Kent Road SE1,"Redevelop site to provide part 1, 2, 3, 7 and 9 storey building comprising 65 flats, 5 duplex units and three ground floor commercial units (shop/office/business- Classes A1/A2/B1) with ground floor parking area and internal courtyard at first floor level.",70.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,22/10/2004,UJIMA HOUSING ASSOCIATION,Not known,5,7.14,1 Bed Flat
03-AP-1952,82-96 Old Kent Road SE1,"Redevelop site to provide part 1, 2, 3, 7 and 9 storey building comprising 65 flats, 5 duplex units and three ground floor commercial units (shop/office/business- Classes A1/A2/B1) with ground floor parking area and internal courtyard at first floor level.",70.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,22/10/2004,London and Quadrant Housing Trust,Not known,7,10.00,1 Bed Flat
03-AP-1952,82-96 Old Kent Road SE1,"Redevelop site to provide part 1, 2, 3, 7 and 9 storey building comprising 65 flats, 5 duplex units and three ground floor commercial units (shop/office/business- Classes A1/A2/B1) with ground floor parking area and internal courtyard at first floor level.",70.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,22/10/2004,UJIMA HOUSING ASSOCIATION,Not known,3,4.29,2 Bed Flat
03-AP-1952,82-96 Old Kent Road SE1,"Redevelop site to provide part 1, 2, 3, 7 and 9 storey building comprising 65 flats, 5 duplex units and three ground floor commercial units (shop/office/business- Classes A1/A2/B1) with ground floor parking area and internal courtyard at first floor level.",70.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,22/10/2004,London and Quadrant Housing Trust,Not known,7,10.00,2 Bed Flat
03-AP-1952,82-96 Old Kent Road SE1,"Redevelop site to provide part 1, 2, 3, 7 and 9 storey building comprising 65 flats, 5 duplex units and three ground floor commercial units (shop/office/business- Classes A1/A2/B1) with ground floor parking area and internal courtyard at first floor level.",70.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,22/10/2004,UJIMA HOUSING ASSOCIATION,Not known,3,4.29,3 Bed Flat
03-AP-2150,"41 MALTBY STREET, LONDON SE1","Redevelopment of existing industrial site to provide a 7 storey block with basement car parking (access from Millstream Rd.- 44 spaces) comprising showroom with offices and storage/distribution on part of ground floor & offices on part first floor and 88 residential units on part ground, part first and upper floor.",88.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,14/01/2005,TO BE CONFIRMED,Shared Own,10,11.36,1 Bed Flat
03-AP-2150,"41 MALTBY STREET, LONDON SE1","Redevelopment of existing industrial site to provide a 7 storey block with basement car parking (access from Millstream Rd.- 44 spaces) comprising showroom with offices and storage/distribution on part of ground floor & offices on part first floor and 88 residential units on part ground, part first and upper floor.",88.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Variation,Variation,18/01/2007,TO BE CONFIRMED,Shared Own,10,11.36,1 Bed Flat
03-AP-2150,"41 MALTBY STREET, LONDON SE1","Redevelopment of existing industrial site to provide a 7 storey block with basement car parking (access from Millstream Rd.- 44 spaces) comprising showroom with offices and storage/distribution on part of ground floor & offices on part first floor and 88 residential units on part ground, part first and upper floor.",88.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,14/01/2005,TO BE CONFIRMED,Shared Own,12,13.64,2 Bed Flat
03-AP-2150,"41 MALTBY STREET, LONDON SE1","Redevelopment of existing industrial site to provide a 7 storey block with basement car parking (access from Millstream Rd.- 44 spaces) comprising showroom with offices and storage/distribution on part of ground floor & offices on part first floor and 88 residential units on part ground, part first and upper floor.",88.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Variation,Variation,18/01/2007,TO BE CONFIRMED,Shared Own,12,13.64,2 Bed Flat
03-AP-2263,"247-251 LOWER ROAD & 2-8 PLOUGH WAY, SE16",Redevelopment of site to provide a five storey building with retail useon the ground floor and 24 flats on first to fourth floors.,24.00,Surrey Docks Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,05/01/2006,TO BE CONFIRMED,Aff Rent,2,8.33,1 Bed Flat
03-AP-2263,"247-251 LOWER ROAD & 2-8 PLOUGH WAY, SE16",Redevelopment of site to provide a five storey building with retail useon the ground floor and 24 flats on first to fourth floors.,24.00,Surrey Docks Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,05/01/2006,TO BE CONFIRMED,Aff Rent,4,16.67,2 Bed Flat
03-AP-2316,"Former HMSO Printing Works, Steedman St SE17","Erection of a part 5, part 10 storey building comprising of 10 live/work units, 3 business (Class B1) units and 88 flats with  75 basement parking spaces and vehicular access from Steedman Street (part amending planning permission dated 24.1.2003 for the erection of a part four, part ten storey building comprising of 10 live/work units and 78 flats and a 7 storey building comprising of 25 affordable flats facing onto Steedman Street with 73 basement car parking spaces for both blocks (02-AP-0357)).",98.00,Newington Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,06/12/2004,The Horizon Housing Group,Not known,2,2.04,1 Bed Flat
